image_path,embedding_index
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T150101_0318_patch_4.jpg,16
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T150146_0336_patch_11.jpg,17
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T150411_0394_patch_1.jpg,18
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T150411_0394_patch_6.jpg,19
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T151336_0544_patch_5.jpg,20
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T151344_0547_patch_10.jpg,21
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T151651_0622_patch_8.jpg,22
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T151701_0626_patch_8.jpg,23
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T151706_0628_patch_13.jpg,24
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T151756_0648_patch_9.jpg,25
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T152451_0814_patch_2.jpg,26
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153237_0941_patch_9.jpg,27
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153417_0981_patch_0.jpg,28
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153419_0982_patch_0.jpg,29
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153422_0983_patch_10.jpg,30
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153427_0985_patch_5.jpg,31
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153457_0997_patch_4.jpg,32
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153627_1033_patch_11.jpg,33
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153642_1039_patch_8.jpg,34
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153659_1046_patch_1.jpg,35
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153702_1047_patch_3.jpg,36
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T153927_1105_patch_14.jpg,37
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T154522_1247_patch_10.jpg,38
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T154539_1254_patch_5.jpg,39
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T154544_1256_patch_10.jpg,40
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T155609_1402_patch_12.jpg,41
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T161107_1761_patch_3.jpg,42
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T161109_1762_patch_4.jpg,43
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T162946_2151_patch_4.jpg,44
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T140032_0080_patch_13.jpg,45
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T140357_0162_patch_11.jpg,46
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T140835_0273_patch_7.jpg,47
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T141438_0418_patch_2.jpg,48
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142550_0529_patch_12.jpg,49
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142700_0557_patch_2.jpg,50
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142725_0567_patch_6.jpg,51
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142750_0577_patch_13.jpg,52
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T142757_0580_patch_4.jpg,53
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143040_0645_patch_2.jpg,54
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143047_0648_patch_12.jpg,55
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143322_0710_patch_6.jpg,56
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143420_0733_patch_13.jpg,57
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143425_0735_patch_8.jpg,58
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143427_0736_patch_8.jpg,59
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143455_0747_patch_8.jpg,60
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T143503_0750_patch_3.jpg,61
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T144003_0870_patch_6.jpg,62
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T145743_1215_patch_2.jpg,63
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T145958_1269_patch_2.jpg,64
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151519_1550_patch_7.jpg,65
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151541_1559_patch_1.jpg,66
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151734_1604_patch_9.jpg,67
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T151739_1606_patch_14.jpg,68
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T152937_1791_patch_2.jpg,69
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153015_1806_patch_7.jpg,70
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153045_1818_patch_7.jpg,71
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153132_1837_patch_1.jpg,72
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T153235_1862_patch_3.jpg,73
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T154005_2042_patch_3.jpg,74
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBN_20230505T154445_2154_patch_8.jpg,75
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T143611_0478_patch_5.jpg,76
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T143631_0486_patch_12.jpg,77
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T152325_1403_patch_2.jpg,78
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T152337_1408_patch_11.jpg,79
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T152337_1408_patch_12.jpg,80
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T153502_1682_patch_5.jpg,81
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T154813_1894_patch_12.jpg,82
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T154815_1895_patch_7.jpg,83
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_JANBS_20230506T155138_1976_patch_7.jpg,84
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T144648_0135_patch_6.jpg,85
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T144736_0154_patch_10.jpg,86
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T144741_0156_patch_5.jpg,87
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145153_0257_patch_2.jpg,88
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145201_0260_patch_7.jpg,89
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145206_0262_patch_12.jpg,90
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T145216_0266_patch_8.jpg,91
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152451_0824_patch_6.jpg,92
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152614_0857_patch_9.jpg,93
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152734_0889_patch_14.jpg,94
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152809_0903_patch_11.jpg,95
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T152856_0922_patch_5.jpg,96
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153312_1024_patch_10.jpg,97
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153329_1031_patch_12.jpg,98
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153337_1034_patch_2.jpg,99
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153527_1078_patch_2.jpg,100
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T153659_1115_patch_11.jpg,101
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154149_1231_patch_11.jpg,102
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154212_1240_patch_8.jpg,103
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154921_1320_patch_0.jpg,104
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154924_1321_patch_1.jpg,105
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154924_1321_patch_2.jpg,106
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154931_1324_patch_0.jpg,107
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T154951_1332_patch_14.jpg,108
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155401_1432_patch_7.jpg,109
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155444_1449_patch_1.jpg,110
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155514_1461_patch_12.jpg,111
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155526_1466_patch_2.jpg,112
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155551_1476_patch_2.jpg,113
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155621_1488_patch_7.jpg,114
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T155801_1528_patch_8.jpg,115
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160204_1625_patch_5.jpg,116
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160241_1640_patch_5.jpg,117
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160249_1643_patch_11.jpg,118
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160449_1691_patch_6.jpg,119
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T160501_1696_patch_7.jpg,120
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161222_1787_patch_12.jpg,121
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161409_1830_patch_6.jpg,122
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161424_1836_patch_3.jpg,123
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161727_1909_patch_7.jpg,124
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161729_1910_patch_12.jpg,125
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161732_1911_patch_12.jpg,126
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161744_1916_patch_12.jpg,127
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161747_1917_patch_12.jpg,128
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162115_2000_patch_9.jpg,129
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162119_2002_patch_4.jpg,130
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162515_2096_patch_12.jpg,131
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162517_2097_patch_4.jpg,132
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162522_2099_patch_8.jpg,133
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162547_2109_patch_13.jpg,134
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162547_2109_patch_2.jpg,135
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162552_2111_patch_7.jpg,136
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162555_2112_patch_12.jpg,137
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162802_2163_patch_12.jpg,138
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163238_2183_patch_13.jpg,139
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163641_2280_patch_9.jpg,140
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163651_2284_patch_7.jpg,141
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163731_2300_patch_3.jpg,142
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163736_2302_patch_8.jpg,143
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LIGHTH_20201101T141625_0252_patch_7.jpg,144
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LIGHTH_20201101T145029_0784_patch_3.jpg,145
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LIGHTH_20201101T145654_0938_patch_10.jpg,146
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T151223_0001_patch_2.jpg,147
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T151240_0008_patch_0.jpg,148
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T152142_0088_patch_6.jpg,149
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T152149_0089_patch_6.jpg,150
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T152804_0231_patch_8.jpg,151
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T080830_0005_patch_2.jpg,152
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T080917_0024_patch_5.jpg,153
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T080920_0025_patch_9.jpg,154
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T083828_0490_patch_0.jpg,155
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T084048_0544_patch_5.jpg,156
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T085730_0610_patch_7.jpg,157
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T085911_0648_patch_9.jpg,158
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074233_0057_patch_2.jpg,159
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074430_0098_patch_5.jpg,160
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074455_0104_patch_2.jpg,161
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074601_0125_patch_2.jpg,162
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074614_0130_patch_0.jpg,163
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074621_0133_patch_10.jpg,164
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T075831_0385_patch_8.jpg,165
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T084559_0137_patch_5.jpg,166
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T085109_0254_patch_3.jpg,167
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T073757_0007_patch_11.jpg,168
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T073757_0007_patch_7.jpg,169
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T073932_0042_patch_4.jpg,170
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074406_0141_patch_8.jpg,171
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074443_0156_patch_11.jpg,172
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074844_0245_patch_1.jpg,173
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074956_0270_patch_5.jpg,174
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074958_0271_patch_9.jpg,175
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T075011_0276_patch_2.jpg,176
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T075530_0397_patch_8.jpg,177
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T075656_0428_patch_10.jpg,178
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080413_0453_patch_11.jpg,179
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080433_0461_patch_6.jpg,180
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080937_0580_patch_5.jpg,181
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080937_0580_patch_9.jpg,182
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081010_0590_patch_3.jpg,183
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081012_0591_patch_3.jpg,184
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081042_0603_patch_6.jpg,185
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081550_0723_patch_2.jpg,186
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081634_0737_patch_2.jpg,187
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082102_0840_patch_3.jpg,188
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082139_0855_patch_2.jpg,189
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082152_0860_patch_5.jpg,190
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082202_0864_patch_6.jpg,191
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T080213_0260_patch_6.jpg,192
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T080816_0398_patch_4.jpg,193
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T082642_0464_patch_8.jpg,194
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T082721_0476_patch_6.jpg,195
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T074924_0255_patch_7.jpg,196
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T080612_0492_patch_2.jpg,197
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T080622_0496_patch_5.jpg,198
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T081208_0621_patch_6.jpg,199
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T081525_0695_patch_4.jpg,200
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T082532_0753_patch_2.jpg,201
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20190430T081917_0161_patch_7.jpg,202
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T105132_0343_patch_8.jpg,203
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T110816_0396_patch_12.jpg,204
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T110911_0417_patch_8.jpg,205
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T110920_0420_patch_3.jpg,206
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111150_0478_patch_9.jpg,207
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111152_0479_patch_8.jpg,208
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111152_0479_patch_9.jpg,209
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111335_0519_patch_5.jpg,210
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111702_0598_patch_8.jpg,211
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111803_0622_patch_11.jpg,212
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111806_0623_patch_11.jpg,213
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111808_0624_patch_11.jpg,214
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111923_0653_patch_1.jpg,215
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T112228_0724_patch_2.jpg,216
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T112241_0729_patch_1.jpg,217
